from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
LECT PSOE-AY,LECT PSOE-AY-B/E/E,other,low,33,0.138,2019|2020|2021,2023,2019,PROF OF TEACH-AY,1,PROF OF TEACH-AY-B/E/E,1,claude
LECTURER IN SUMMER SESSION,LECT-AY-1/9,other,low,33,0.105,2012,2011,2012,LECTURER IN SUMMER SESSION,1,LECT-AY,1,claude
MGT SVC OFCR 3 SUPV,ADMIN SUPV 2,other,low,33,0.262,2015|2017|2019|2021,2023,2012,MGT SVC OFCR SUPV,3,ADMIN SUPV,2,claude
MISCELLANEOUS,ACADEMIC APPT,other,low,33,0.125,2014,2025,2014,MISCELLANEOUS,1,ACADEMIC APPT,1,claude
"NURSE, CLINICAL IV-SUPVR",CLIN NURSE SUPV 4 NEX,rename,high,33,0.579,2012,2011,2012,"NURSE, CLINICAL-SUPVR",4,CLIN NURSE SUPV,4,claude
PHYSICIAN 5,PHYSCN 5,rename,high,33,0.943,2012,2011,2012,PHYSICIAN,5,PHYSCN,5,claude
PROGR 6,APPLICATIONS PROGR 4,other,low,33,0.237,2015|2016|2018,2017,2012,PROGR,6,APPLICATIONS PROGR,4,claude
PROGR ANL 4 SUPV,APPLICATIONS PRG SUPV 2,other,low,33,0.12,2015|2016|2019|2021,2023,2012,PROGR ANL SUPV,4,APPLICATIONS PRG SUPV,2,claude
PUBL EDUC SPEC 3,PUBL EDUC SPEC 4,promotion,high,33,0.258,2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,PUBL EDUC SPEC,3,PUBL EDUC SPEC,4,claude
PUBLICATIONS COORDINATOR,PUBL CRD,rename,high,33,0.868,2012,2011,2012,PUBLICATIONS COORDINATOR,1,PUBL CRD,1,claude
RECR PRG INSTR 1,RECR PRG INSTR 2,promotion,high,33,0.541,2017|2019|2020|2021|2022|2023,2025,2016,RECR PRG INSTR,1,RECR PRG INSTR,2,claude
SRA 4 SUPV,LAB RSCH SUPV 2,other,low,33,0.213,2017|2018|2021|2023|2024,2023,2012,SRA SUPV,4,LAB RSCH SUPV,2,claude
STDT SVC ADVISOR 1,STDT SVC ADVISOR 2,promotion,high,33,0.398,2013|2014|2016|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,STDT SVC ADVISOR,1,STDT SVC ADVISOR,2,claude
STUDENT AFFAIRS OFFICER I - PD,STDT AFFAIRS OFCR 1 PD,rename,high,33,0.917,2012,2011,2012,STUDENT AFFAIRS OFFICER I -,1,STDT AFFAIRS OFCR,1,claude
STUDENT SERVICES ADVISOR 2,STDT SVC ADVISOR 2,rename,high,33,0.623,2012,2011,2012,STUDENT SERVICES ADVISOR,2,STDT SVC ADVISOR,2,claude
TCHN PRN,CARE SUPV 1,other,low,33,0.635,2016|2017|2019|2021|2022|2023|2024|2025,2025,2016,TCHN,3,CARE SUPV,1,claude
TEACHER-SPEC PROG,TEACHER-SPEC PROG-CONTINUING,other,low,33,0.262,2014|2015|2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2010,TEACHER-SPEC PROG,1,TEACHER-SPEC PROG-CONTINUING,1,claude
"TECHNOLOGIST, MRI",MRI TCHNO,rename,high,33,0.825,2012,2011,2012,"TECHNOLOGIST, MRI",1,MRI TCHNO,1,claude
VST ASSOC RES ---- - FISCAL YR,VIS ASSOC RES,rename,high,33,0.717,2012,2011,2012,VST RES ---- - FISCAL YR,2,VIS RES,2,claude
WRITER/EDITOR 3,WRITER EDITOR 3,rename,high,33,0.846,2012,2011,2012,WRITER/EDITOR,3,WRITER EDITOR,3,claude
ADMIN ANALYST SUPERVISOR,ADMIN ANL SUPV NEX,rename,medium,32,0.492,2012,2011,2012,ADMIN ANALYST SUPERVISOR,1,ADMIN ANL SUPV,1,claude
ADMIN ANL SUPV NEX,ADMIN ANL SR SUPV,other,low,32,0.132,2013|2014|2015|2016|2017|2018|2019,2023,2012,ADMIN ANL SUPV,1,ADMIN ANL SR SUPV,1,claude
ANESTHETIST NURSE SR NEX,ANESTHETIST NURSE SR PD,variant,high,32,0.696,2015|2016|2018|2021|2022|2023|2024|2025,2025,2012,ANESTHETIST NURSE,2,ANESTHETIST NURSE,2,claude
APPLICATIONS PROGRAMMER 2,APPLICATIONS PROGR 2,rename,high,32,0.762,2012,2011,2012,APPLICATIONS PROGRAMMER,2,APPLICATIONS PROGR,2,claude
ASSOC AGRON AES-AY,ASSOC PROF-AY,other,low,32,0.471,2014|2015|2017|2018|2022|2023|2024|2025,2025,2012,AGRON AES-AY,2,PROF-AY,2,claude
BUS INTEL SPEC 3,BUS INTEL SPEC 4,promotion,high,32,0.5,2019|2020|2021|2022|2023|2024|2025,2025,2017,BUS INTEL SPEC,3,BUS INTEL SPEC,4,claude
CLIN APPLICATIONS PROFL 4,CLIN APPLICATIONS PROFL 5,promotion,high,32,0.274,2017|2021|2022|2023|2024|2025,2025,2015,CLIN APPLICATIONS PROFL,4,CLIN APPLICATIONS PROFL,5,claude
"CODER, HEALTH INFORMATION IV",HEALTH INFO CODER 4,rename,high,32,0.941,2012,2011,2012,"CODER, HEALTH INFORMATION",4,HEALTH INFO CODER,4,claude
COMPUTER RESC SPEC 1,COMPUTER RESC SPEC 2,promotion,high,32,0.32,2013|2014|2015|2016|2017|2018|2020|2021|2022|2023|2025,2025,2012,COMPUTER RESC SPEC,1,COMPUTER RESC SPEC,2,claude
COOP EXT ADVISOR,ADMIN STIPEND,other,low,32,0.516,2018,2025,2012,COOP EXT ADVISOR,3,ADMIN STIPEND,1,claude
COUNSEL SR,COUNSEL 4,rename,high,32,0.914,2013|2015|2016|2018|2020,2019,2013,COUNSEL,2,COUNSEL,4,claude
FAC PROJECT MGT SPEC 2,FAC PROJECT MGT SPEC 3,promotion,high,32,0.571,2015|2017|2019|2020|2021|2022|2023|2024|2025,2025,2012,FAC PROJECT MGT SPEC,2,FAC PROJECT MGT SPEC,3,claude
HOSP BLANK AST 1,HOSP BLANK AST 3,promotion,medium,32,0.084,2015|2016|2017|2020|2021|2022|2023|2024|2025,2025,2012,HOSP BLANK AST,1,HOSP BLANK AST,3,claude
"INTERN, PSYCHOLOGY",PSYCHOLOGY INTERN,rename,high,32,0.653,2012,2011,2012,"INTERN, PSYCHOLOGY",1,PSYCHOLOGY INTERN,1,claude
INTERN-CLINICAL PSYCHOLOGY,INTERN-CLINICAL PSYCHOLOGY NEX,variant,high,32,0.269,2024,2025,2024,INTERN-CLINICAL PSYCHOLOGY,1,INTERN-CLINICAL PSYCHOLOGY,1,claude
LAB AST 3,LAB AST 4,promotion,medium,32,0.106,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,LAB AST,3,LAB AST,4,claude
MED CTR STOREKEEPER AST,MED CTR STOREKEEPER,promotion,high,32,0.615,2013|2014|2015|2016|2017|2018|2021|2022|2023|2024,2025,2012,MED CTR STOREKEEPER,0,MED CTR STOREKEEPER,1,claude
MED OFC SVC CRD 3,BLANK AST 3,other,low,32,0.109,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,MED OFC SVC CRD,3,BLANK AST,3,claude
PAT NAVGTR CLIN 4,PAT NAVGTR CLIN 4 HX,variant,high,32,0.727,2025,2025,2025,PAT NAVGTR CLIN,4,PAT NAVGTR CLIN,4,claude
PROGR 4,PROGR 5,promotion,medium,32,0.171,2013|2014|2015,2018,2012,PROGR,4,PROGR,5,claude
PROGR 4,SYS ADM 3,other,low,32,0.171,2015|2016|2017,2018,2012,PROGR,4,SYS ADM,3,claude
"PUBLICATIONS COORDINATOR, SR",PUBL CRD SR,rename,high,32,0.762,2012,2011,2012,PUBLICATIONS COORDINATOR,2,PUBL CRD,2,claude
R&D ENGINEER 2,RSCH AND DEV ENGR 2,rename,high,32,0.821,2012,2011,2012,R&D ENGINEER,2,RSCH AND DEV ENGR,2,claude
RAD THER TCHNO PD,RAD THER TCHNO,variant,high,32,0.762,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2012,RAD THER TCHNO,1,RAD THER TCHNO,1,claude
RADLG TCHNO PRN,MRI TCHNO PRN,other,low,32,0.278,2023|2024,2025,2023,RADLG TCHNO,3,MRI TCHNO,3,claude
SENIOR COUNSEL,COUNSEL SR,rename,high,32,0.97,2012,2011,2012,SENIOR COUNSEL,1,COUNSEL,2,claude
"SURVEY WORKER, SR",SURVEY WORKER SR,rename,high,32,0.865,2012,2011,2012,SURVEY WORKER,2,SURVEY WORKER,2,claude
"TECHNICIAN, SURGICAL, PER DIEM",SURGICAL TCHN PD,rename,high,32,0.842,2012,2011,2012,"TECHNICIAN, SURGICAL, PER DIEM",1,SURGICAL TCHN,1,claude
"TECHNO V, COMPUTER & NETWORK",COMPUTER NETWORK TCHNO 5,rename,high,32,0.941,2012,2011,2012,"TECHNO V, COMPUTER & NETWORK",1,COMPUTER NETWORK TCHNO,5,claude
"THERAPIST, RESPIRATORY, I",RESP THER 1,rename,high,32,0.711,2012,2011,2012,"THERAPIST, RESPIRATORY",1,RESP THER,1,claude
VST ASST PROFESSOR-ACAD YR-1/9,LECT-AY-1/9,other,low,32,0.296,2012|2013|2014|2016,2017,2012,VST PROFESSOR-ACAD YR-1/9,1,LECT-AY,1,claude
ACUPUNCTURIST 3,ACUPUNCTURIST 3 HX,variant,high,31,0.939,2025,2025,2025,ACUPUNCTURIST,3,ACUPUNCTURIST,3,claude
ADMIN SPEC SUPV,AMBUL CARE ADMSTN SUPV 1,other,low,31,0.145,2017|2018|2019|2021|2022|2023|2024,2024,2016,ADMIN SPEC SUPV,1,AMBUL CARE ADMSTN SUPV,1,claude
ADMINISTRATIVE OFFICER 4,ADMIN OFCR 4,rename,high,31,0.756,2012,2011,2012,ADMINISTRATIVE OFFICER,4,ADMIN OFCR,4,claude
ADMITTING WORKER,ADMITTING WORKER SR,promotion,medium,31,0.105,2012|2013|2014|2015|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,ADMITTING WORKER,1,ADMITTING WORKER,2,claude
ADMITTING WORKER SR PD,ADMITTING WORKER SR,variant,high,31,0.646,2014|2015|2016|2017|2018|2019|2021|2022,2025,2012,ADMITTING WORKER,2,ADMITTING WORKER,2,claude
APPLICATIONS PROGR 1,APPLICATIONS PROGR 2,promotion,high,31,0.66,2013|2016|2017|2019|2020|2021|2022|2023|2024,2025,2012,APPLICATIONS PROGR,1,APPLICATIONS PROGR,2,claude
ASSISTANT COACH 3,COACH AST 3,rename,high,31,0.912,2012,2011,2012,ASSISTANT COACH,3,COACH AST,3,claude
ASSOC PROF-SFT-VM,PROF-SFT-VM,promotion,high,31,0.62,2013|2014|2015|2016|2017|2019|2021|2022|2023|2024|2025,2025,2012,PROF-SFT-VM,2,PROF-SFT-VM,3,claude
AST TO DEAN DIR CHAIR 1,EXEC AST 3,other,low,31,0.167,2014|2015|2016|2017|2019|2020|2021|2024,2024,2012,AST TO DEAN DIR CHAIR,1,EXEC AST,3,claude
BUYER II,BUYER 2,rename,high,31,0.756,2012,2011,2012,BUYER,2,BUYER,2,claude
CAMP CNSLR,CAMP CNSLR L3,other,low,31,0.397,2018,2018,2018,CAMP CNSLR,1,CAMP CNSLR L3,1,claude
CASE MGR EX,CASE MGR SR,promotion,medium,31,0.124,2021|2022|2023|2024|2025,2025,2021,CASE MGR,1,CASE MGR,2,claude
CLIN RSCH SUPV 1,CLIN RSCH SUPV 2,promotion,high,31,0.348,2019|2021|2022|2023|2024|2025,2025,2016,CLIN RSCH SUPV,1,CLIN RSCH SUPV,2,claude
COOK,CHEF 2,other,low,31,0.113,2013|2018|2019|2020|2021|2022|2023|2024|2025,2025,2010,COOK,1,CHEF,2,claude
FAC MECH,STEAM OPS ENGR,other,low,31,0.194,2016|2017|2019|2020|2021|2022|2023|2024|2025,2025,2016,FAC MECH,1,STEAM OPS ENGR,1,claude
FOOD SVC MGR SR,FOOD SVC SUPV 2,rename,medium,31,0.413,2015|2017|2021,2020,2012,FOOD SVC MGR,2,FOOD SVC SUPV,2,claude
HS CLINICAL INSTRUCTOR-HCOMP,HS ASST CLIN PROF-HCOMP,other,low,31,0.13,2012,2011,2012,HS CLINICAL INSTRUCTOR-HCOMP,1,HS CLIN PROF-HCOMP,1,claude
LECT PSOE-AY-B/E/E,LECT SOE-AY-B/E/E,promotion,high,31,0.326,2020|2021|2022|2023,2023,2019,PROF OF TEACH-AY-B/E/E,1,PROF OF TEACH-AY-B/E/E,2,claude
LIBRARY AST 5,LIBRARY PROFL 4,other,low,31,0.492,2015|2017|2018|2021,2023,2012,LIBRARY AST,5,LIBRARY PROFL,4,claude
"NURSE, ANESTHETIST, SR",ANESTHETIST NURSE SR,rename,medium,31,0.397,2012,2011,2012,"NURSE, ANESTHETIST",2,ANESTHETIST NURSE,2,claude
PATIENT CARE TECHNICIAN,PATIENT CARE TCHN,rename,high,31,0.969,2012,2011,2012,PATIENT CARE TECHNICIAN,1,PATIENT CARE TCHN,1,claude
PHARMACIST PD,STF PHARMACIST 1 NEX,other,low,31,0.246,2017|2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,PHARMACIST,1,STF PHARMACIST,1,claude
RECR PRG INSTR 3,RECR PRG INSTR 2,other,low,31,0.534,2017|2018|2019|2022|2023,2025,2016,RECR PRG INSTR,3,RECR PRG INSTR,2,claude
SENIOR PHYSICIAN,PHYSCN SR,rename,high,31,0.674,2012,2011,2012,SENIOR PHYSICIAN,1,PHYSCN,2,claude
"SOCIAL WORKER II, CLINICAL P D",CLIN SOCIAL WORKER 2 PD,rename,high,31,0.861,2012,2011,2012,"SOCIAL WORKER II, CLINICAL P D",1,CLIN SOCIAL WORKER,2,claude
SRA II - SUPERVISOR,SRA 2 SUPV,rename,high,31,0.62,2012,2011,2012,SRA - SUPERVISOR,2,SRA SUPV,2,claude
SUPERVISOR OF TEACHER ED-AY,SUPV TEACHER ED-AY,rename,high,31,0.886,2012,2011,2012,SUPERVISOR OF TEACHER ED-AY,1,SUPV TEACHER ED-AY,1,claude
"TECHNICIAN, DEVELOPMENT, IV",DEV TCHN 4,rename,high,31,0.969,2012,2011,2012,"TECHNICIAN, DEVELOPMENT",4,DEV TCHN,4,claude
"TECHNOLOGIST, CT, SENIOR",CT TCHNO SR,rename,high,31,1.0,2012,2011,2012,"TECHNOLOGIST, CT",2,CT TCHNO,2,claude
VIS ASST PROF,LECT-AY,other,low,31,0.128,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2025,2012,VIS PROF,1,LECT-AY,1,claude
VIS ASST PROF-HCOMP,HS ASST CLIN PROF-HCOMP,other,low,31,0.431,2013|2014|2015|2016|2020|2021|2024,2025,2012,VIS PROF-HCOMP,1,HS CLIN PROF-HCOMP,1,claude
"______ ASSISTANT, HOSPITAL IV",HOSP BLANK AST 4,rename,high,31,0.795,2012,2011,2012,"______ ASSISTANT, HOSPITAL",4,HOSP BLANK AST,4,claude
ACADEMIC ADMINISTRATOR VI,ACADEMIC ADMINISTRATOR VII,promotion,high,30,0.667,2011|2012|2014|2015|2017|2020|2021|2022|2023|2024|2025,2025,2010,ACADEMIC ADMINISTRATOR,6,ACADEMIC ADMINISTRATOR,7,claude
ACADEMIC PROGRAM MGT OFFICER 4,ACAD PRG MGT OFCR 4,rename,high,30,0.909,2012,2011,2012,ACADEMIC PROGRAM MGT OFFICER,4,ACAD PRG MGT OFCR,4,claude
ADJ PROF-HCOMP,ADJ PROF-FY,other,low,30,0.178,2014|2015|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,ADJ PROF-HCOMP,3,ADJ PROF-FY,3,claude
AMBUL CARE PAT SUPV 2,AMBUL CARE PAT MGR 1,other,low,30,0.341,2017|2018|2019|2021|2022|2023|2024|2025,2025,2016,AMBUL CARE PAT SUPV,2,AMBUL CARE PAT MGR,1,claude
ANL 3,ANL 5,promotion,medium,30,0.024,2013|2014|2015|2016|2017|2018|2022,2025,2012,ANL,3,ANL,5,claude
ASSOC PROFESSOR - FISCAL YR,ASSOC PROF-FY,rename,high,30,0.789,2012,2011,2012,PROFESSOR - FISCAL YR,2,PROF-FY,2,claude
ASSOC RES-AY,ASSOC PROF-AY,other,low,30,0.652,2013|2014|2015|2016|2017|2018,2018,2012,RES-AY,2,PROF-AY,2,claude
ASSOCIATE PROF IN RES-HCOMP,PROFESSOR IN RESIDENCE-HCOMP,other,low,30,0.113,2011,2011,2010,PROF IN RES-HCOMP,2,PROFESSOR IN RESIDENCE-HCOMP,3,claude
ASST RES-AY,ASST PROF-AY,rename,high,30,0.625,2013|2014|2016|2017|2018|2019,2018,2012,RES-AY,1,PROF-AY,1,claude
BLANK AST 4,BLANK AST 3,other,low,30,0.1,2013|2014|2015|2016|2017|2018|2020|2021|2022|2023|2024|2025,2025,2012,BLANK AST,4,BLANK AST,3,claude
BLDG MAINT WORKER SR,MAINT MECH,other,low,30,0.15,2015|2016|2017|2018|2019|2021|2022|2024|2025,2025,2012,BLDG MAINT WORKER,2,MAINT MECH,1,claude
CERT PHLEBOTOMIST TECH III,PHLEBOTOMIST CERT TCHN 3,rename,high,30,0.857,2012,2011,2012,CERT PHLEBOTOMIST TECH,3,PHLEBOTOMIST CERT TCHN,3,claude
CERT PHLEBOTOMY TCHN 2 PD,CERT PHLEBOTOMY TCHN 2,variant,high,30,0.882,2023|2024|2025,2025,2022,CERT PHLEBOTOMY TCHN,2,CERT PHLEBOTOMY TCHN,2,claude
CHILD DEV CTR TEACHER 2,CHILD DEV CTR TEACHER 2 LD,other,low,30,0.469,2019|2020|2021|2022|2023|2024|2025,2025,2018,CHILD DEV CTR TEACHER,2,CHILD DEV CTR TEACHER 2,3,claude
CLIN SOCIAL WORKER 2 PD,CLIN SOCIAL WORKER 3,promotion,high,30,0.306,2014|2015|2016|2017|2018|2019|2020|2022|2023|2024|2025,2025,2012,CLIN SOCIAL WORKER,2,CLIN SOCIAL WORKER,3,claude
COACH/SPECIALIST,COACH SPEC,rename,high,30,0.857,2012,2011,2012,COACH/SPECIALIST,1,COACH SPEC,1,claude
CUSTODIAL SUPV 1,CUSTODIAL SUPV 2,promotion,high,30,0.38,2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,CUSTODIAL SUPV,1,CUSTODIAL SUPV,2,claude
EDITOR SR,WRITER EDITOR 3,other,low,30,0.395,2014|2016|2017|2018|2019|2020|2021,2024,2012,EDITOR,2,WRITER EDITOR,3,claude
FAC MECH,RESIDENTIAL SVC MECH,other,low,30,0.188,2013|2014|2016|2017|2020|2022|2023|2024|2025,2025,2012,FAC MECH,1,RESIDENTIAL SVC MECH,3,claude
FIN ANL,FIN ANL SR,promotion,high,30,0.268,2013|2014|2015|2016|2017|2019|2020,2020,2012,FIN ANL,1,FIN ANL,2,claude
HOSP AST PD,CLIN NURSE 1,other,low,30,0.19,2013|2014|2015|2016|2017|2020|2022|2023|2024|2025,2025,2012,HOSP,0,CLIN NURSE,1,claude
LABORATORY ASST IV,LAB AST 4,rename,high,30,0.769,2012,2011,2012,LABORATORY ASST,4,LAB AST,4,claude
LABORER,CUSTODIAN SR,other,low,30,0.143,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2024|2025,2025,2012,LABORER,1,CUSTODIAN,2,claude
MGT SVC OFCR 3,ADMIN SUPV 2,other,low,30,0.106,2017|2018|2019|2021|2023|2024,2023,2012,MGT SVC OFCR,3,ADMIN SUPV,2,claude
OR ASSISTANT II,OPERATING ROOM AST 2,rename,high,30,0.769,2012,2011,2012,OR ASSISTANT,2,OPERATING ROOM AST,2,claude
PAT CARE AST PD,CLIN NURSE 2,other,low,30,0.323,2021|2022|2023|2025,2025,2012,PAT CARE,0,CLIN NURSE,2,claude
PAT NAVGTR NON-CLIN 3,PAT NAVGTR NON-CLIN 3 CX,variant,high,30,0.395,2025,2025,2025,PAT NAVGTR NON-CLIN,3,PAT NAVGTR NON-CLIN,3,claude
"PHARMACIST, STAFF I",STAFF PHARMACIST 1 NEX,other,low,30,0.248,2012,2011,2012,"PHARMACIST, STAFF",1,STAFF PHARMACIST,1,claude
PHYS THER 1 PD,PHYS THER 1 NEX,variant,high,30,0.38,2013|2014|2015|2016|2017|2018|2019|2020|2021|2023|2024,2025,2013,PHYS THER,1,PHYS THER,1,claude
"PRODUCER-DIRECTOR, SR",PRODUCER DIR SR,rename,high,30,0.882,2012,2011,2012,PRODUCER-DIRECTOR,2,PRODUCER DIR,2,claude
PROGRAM PROMOTION MANAGER I,PRG PROMOTION MGR 1,rename,high,30,0.909,2012,2011,2012,PROGRAM PROMOTION MANAGER,1,PRG PROMOTION MGR,1,claude
RECALL FACULTY,RECALL HCOMP,other,low,30,0.152,2015|2016|2017|2018|2019|2020|2021|2022|2023|2025,2025,2012,RECALL FACULTY,1,RECALL HCOMP,1,claude
RES-FY,RES-FY NEX,variant,high,30,0.103,2016|2017|2018|2019|2020|2022|2023|2024|2025,2025,2016,RES-FY,3,RES-FY,3,claude
RESID-VET MED/NON REP,VETERINARIAN 3,other,low,30,0.6,2021|2022|2023|2024|2025,2025,2010,RESID-VET MED,3,VETERINARIAN,3,claude
RSCH ADM 4,RSCH ADM 5,promotion,medium,30,0.053,2013|2015|2016|2018|2019|2020|2021|2022|2023|2024,2025,2012,RSCH ADM,4,RSCH ADM,5,claude
"SCIENTIST SPEC,CLIN LAB,SR SUP",CLIN LAB SCI SPEC SUPV SR EX,rename,high,30,0.526,2012,2011,2012,"SCIENTIST SPEC,CLIN LAB,SR SUP",1,CLIN LAB SCI SPEC SUPV,2,claude
"TECHNICIAN, ELECTROCARDIOG, SR",ELECTROCARDIOGRAPH TCHN SR,rename,high,30,0.938,2012,2011,2012,"TECHNICIAN, ELECTROCARDIOG",2,ELECTROCARDIOGRAPH TCHN,2,claude
"TECHNOLOGIST,U/S,SR,PER DIEM",ULTRASOUND TCHNO SR PD,rename,high,30,0.811,2012,2011,2012,"TECHNOLOGIST,U/S,SR,PER DIEM",1,ULTRASOUND TCHNO,2,claude
ACAD PRG MGT OFCR 5,ACAD PRG MGT OFCR 5 RP,variant,high,29,0.569,2025,2025,2025,ACAD PRG MGT OFCR,5,ACAD PRG MGT OFCR,5,claude
ACADEMIC ADMINISTRATOR V,ACADEMIC ADMINISTRATOR VI,promotion,high,29,0.617,2012|2014|2015|2016|2017|2018|2020|2021|2022|2023|2024|2025,2025,2010,ACADEMIC ADMINISTRATOR,5,ACADEMIC ADMINISTRATOR,6,claude
ACADEMIC COORD I - ACADEMIC YR,ACADEMIC COORD I-AY,rename,high,29,0.879,2012,2011,2012,ACADEMIC COORD I - ACADEMIC YR,1,ACADEMIC COORD I-AY,1,claude
ACCOUNTANT 2 EX,RSCH ADM 3,other,low,29,0.191,2016|2017|2021,2023,2012,ACCOUNTANT,2,RSCH ADM,3,claude
ADJUNCT INSTRUCTOR-ACADEMIC YR,ADJ INSTR-AY,rename,high,29,0.829,2012,2011,2012,ADJUNCT INSTRUCTOR-ACADEMIC YR,3,ADJ PROF-AY,0,claude
ADMIN ANL AST,ADMIN ANL SR,promotion,medium,29,0.037,2013|2014|2015|2016|2017|2018|2019|2020,2024,2012,ADMIN ANL,0,ADMIN ANL,2,claude
ADVANCEMENT OFFICER II,ADVANCEMENT OFCR 2,rename,high,29,0.744,2012,2011,2012,ADVANCEMENT OFFICER,2,ADVANCEMENT OFCR,2,claude
"ANALYST, BUDGET",BUDGET ANL,rename,high,29,0.784,2012,2011,2012,"ANALYST, BUDGET",1,BUDGET ANL,1,claude
ASSOCIATE PROFESSOR-HCOMP,PROF-HCOMP,other,low,29,0.139,2012,2011,2012,PROFESSOR-HCOMP,2,PROF-HCOMP,3,claude
AUDITOR IV,AUDITOR 4,rename,high,29,0.906,2012,2011,2012,AUDITOR,4,AUDITOR,4,claude
"BUILDING MAINTENANCE WRKR,LEAD",BLDG MAINT WORKER LD,rename,high,29,0.853,2012,2011,2012,"BUILDING MAINTENANCE WRKR,LEAD",1,BLDG MAINT WORKER,3,claude
CARPENTER/LOCKSMITH,CARPENTER LOCKSMITH,rename,high,29,0.906,2012,2011,2012,CARPENTER/LOCKSMITH,1,CARPENTER LOCKSMITH,1,claude
CNSLNG PSYCHOLOGIST 3,CNSLNG PSYCHOLOGIST 3 HX,variant,high,29,0.617,2019,2020,2018,CNSLNG PSYCHOLOGIST,3,CNSLNG PSYCHOLOGIST,3,claude
"CUSTODIAN SUPV, SR.",CUSTODIAN SR SUPV,rename,high,29,0.853,2012,2011,2012,"CUSTODIAN SUPV, SR.",1,CUSTODIAN SR SUPV,1,claude
DENTAL ASST,DENTAL AST,rename,high,29,0.935,2012,2011,2012,DENTAL,0,DENTAL,0,claude
DEPARTMENT CHAIR,ASSOC PROF-AY,other,low,29,0.129,2019|2020,2025,2012,DEPARTMENT CHAIR,1,PROF-AY,2,claude
FINANCIAL AID OFCR 3,FINANCIAL AID OFCR 4,promotion,medium,29,0.177,2013|2014|2015|2016|2019|2020|2021|2022|2023|2024|2025,2025,2012,FINANCIAL AID OFCR,3,FINANCIAL AID OFCR,4,claude
FINANCIAL SERVICES ANALYST 3,FINANCIAL SVC ANL 3,rename,high,29,0.806,2012,2011,2012,FINANCIAL SERVICES ANALYST,3,FINANCIAL SVC ANL,3,claude
FOOD SVC WORKER SR,FOOD SVC WORKER PRN,promotion,medium,29,0.104,2014|2015|2016|2017|2018|2019|2020|2022|2023|2024|2025,2025,2012,FOOD SVC WORKER,2,FOOD SVC WORKER,3,claude
INDUSTRY ALLNS SPEC 3,INDUSTRY ALLNS SPEC 3 SV,variant,high,29,0.58,2025,2025,2025,INDUSTRY ALLNS SPEC,3,INDUSTRY ALLNS SPEC,3,claude
JR SPECIALIST,ASST SPECIALIST NEX,promotion,medium,29,0.021,2016|2017|2021|2022|2023|2024|2025,2025,2016,SPECIALIST,0,SPECIALIST,1,claude
K TO 12 EDUCATOR 2,K TO 12 EDUCATOR 3,promotion,high,29,0.725,2024|2025,2025,2013,K TO 12 EDUCATOR,2,K TO 12 EDUCATOR,3,claude
"MECHANIC, HVAC",HVAC MECH,other,low,29,0.906,2012,2012,2012,"MECHANIC, HVAC",1,HVAC MECH,1,claude
MED CTR FOOD SVC WORKER PRN,MED CTR FOOD SVC WORKER PRN PD,variant,high,29,0.19,2014|2016|2017|2018|2019|2021|2022|2023|2024|2025,2025,2012,MED CTR FOOD SVC WORKER,3,MED CTR FOOD SVC WORKER,3,claude
MED CTR SECURITY OFCR SR,MED CTR SCRTY OFCR SR,rename,high,29,0.784,2016,2015,2016,MED CTR SECURITY OFCR,2,MED CTR SCRTY OFCR,2,claude
MED STF SVC SPEC 2,MED STF SVC SPEC 3,promotion,high,29,0.853,2018|2019|2020|2021|2022|2023|2024|2025,2025,2016,MED STF SVC SPEC,2,MED STF SVC SPEC,3,claude
"NURSE, ADMINISTRATIVE II - SUP",ADMIN NURSE SUPV 2,rename,high,29,0.763,2012,2011,2012,"NURSE, ADMINISTRATIVE - SUP",2,ADMIN NURSE SUPV,2,claude
OPERATING ROOM AST 2,OPS ROOM AST 2,rename,high,29,0.784,2016,2015,2016,OPERATING ROOM AST,2,OPS ROOM AST,2,claude
PROFESSOR OF CLINICAL_____-FY,PROF OF CLIN-FY,rename,high,29,0.967,2012,2011,2012,PROFESSOR OF CLINICAL_____-FY,3,PROF OF CLIN-FY,3,claude
PUBL ADMSTN ANL AST,PUBL ADMSTN ANL,promotion,high,29,0.248,2017|2018|2019|2020|2021|2022|2023,2025,2016,PUBL ADMSTN ANL,0,PUBL ADMSTN ANL,1,claude
PUBL EVENTS MGR SR,EVENTS SPEC 3,other,low,29,0.5,2015|2017|2018|2021,2023,2012,PUBL EVENTS MGR,2,EVENTS SPEC,3,claude
